Altium Designer Pick and Place Locations
G:\03 DMESC\01 PCB\DMESC\Project Outputs for DMESC\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       06/09/21
Time:       09:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R8","10K","TopLayer","R0603","3801.299","2099.724","180","Resistor"
"R7","2K","TopLayer","R0603","3466.653","1911.732","180","Resistor"
"R6","100R","TopLayer","R0603","3567.047","1871.378","90","Resistor"
"R5","10K","TopLayer","R0603","3466.653","1825.118","180","Resistor"
"R4","1K","TopLayer","R0603","3468.622","2148.937","180","Resistor"
"R3","10K","TopLayer","R0603","3468.622","2074.134","180","Resistor"
"R2","470R","TopLayer","R0603","3440.079","2388.110","180","Resistor"
"    B","510R","TopLayer","R0603","4167.441","1597.756","270","0603"
"Q6","RU3560L","BottomLayer","TO-252","4245.354","2080.000","180","NMOSFET"
"Q5","RU40L10L","BottomLayer","TO-252","4245.354","2607.197","180","PMOSFET"
"Q4","RU3560L","BottomLayer","TO-252","3841.653","2080.000","180","NMOSFET"
"Q3","RU40L10L","BottomLayer","TO-252","3841.653","2607.197","180","PMOSFET"
"Q2","RU3560L","BottomLayer","TO-252","3437.952","2080.000","180","NMOSFET"
"Q1","RU40L10L","BottomLayer","TO-252","3437.952","2607.197","180","PMOSFET"
"P3","PPM","BottomLayer","HDR1X3","3841.773","1408.779","180","Header, 3-Pin"
"P2","SWD","BottomLayer","HDR1X4","4341.653","1549.724","270","Header, 4-Pin"
"P1","USART","TopLayer","HDR1X4","4342.638","1549.724","270","Header, 4-Pin"
"D0","LED","TopLayer","0603LED","4234.370","1622.362","90",""
"C20","20pF","BottomLayer","C0603","4192.051","1613.504","180","0603"
"C16","20pF","BottomLayer","C0603","4209.768","1829.055","180","0603"
"C15","100nF","TopLayer","C0603","3575.905","1558.390","270","0.1uF"
"C14","100nF","TopLayer","C0603","3726.496","1265.083","270","0.1uF"
"C13","100nF","TopLayer","C0603","4098.539","1710.945","360","0.1uF"
"C12","100nF","TopLayer","C0603","4096.571","1791.653","180","0.1uF"
"C11","100nF","TopLayer","C0603","4127.087","1428.460","90","0.1uF"
"C10","100nF","TopLayer","C0603","3501.102","1248.350","90","Capacitor"
"C8","1uF","TopLayer","C0603","4092.638","1122.366","270","1uF"
"C7","100nF","TopLayer","C0603","3875.118","1258.193","90","贴片电容"
"C6","470nF","TopLayer","C0603","3959.764","1134.169","270","贴片电容"
"C5","470nF","TopLayer","C0603","3627.086","1270.004","90","贴片电容"
"C4","100nF","TopLayer","C0603","3625.118","1136.146","270","贴片电容"
"C3","100nF","TopLayer","C0603","4212.712","1246.378","180","0.1uF"
"C2","1uF","TopLayer","C0603","4211.728","1331.024","180","1uF"
"C1","100nF","BottomLayer","C0603","4240.275","1411.728","90","0.1uF"
"Y1","8M","BottomLayer","3225","4199.921","3692.244","270","Crystal Oscillator"
"U5","LM321","BottomLayer","SOT23-5","3670.394","3650.905","360","单路运放"
"U4","STM32F103C6T6","TopLayer","STM32F103C6T6","3841.653","3527.008","135",""
"U3","UTC78D05","BottomLayer","TO-252","4099.953","3165.354","90","线性稳压"
"U2","UTC78D05","BottomLayer","TO-252","3578.858","3164.685","270","线性稳压"
"U1","ME6212C33M5G","TopLayer","ME6212C33M5G","4213.701","3093.819","90",""
"T4","testpoint","TopLayer","TESTPOINT","4209.764","3688.307","0","测试点用焊盘代替，不需要元器件"
"T3","SS8050","TopLayer","SOT-23","4293.425","4247.362","360","NPN三极管"
"T2","SS8050","TopLayer","SOT-23","3800.315","4242.441","360","NPN三极管"
"T1","SS8050","TopLayer","SOT-23","3467.638","4242.441","360","NPN三极管"
"R40","1M","BottomLayer","R0603","4098.543","3690.276","90","0603"
"R39","4.7K","TopLayer","R0603","3659.567","4245.394","270","Resistor"
"R38","4.7K","TopLayer","R0603","3991.260","4261.142","270","Resistor"
"R37","4.7K","TopLayer","R0603","4092.638","4261.142","270","Resistor"
"R36","4.7K","TopLayer","R0603","4093.622","4101.693","270","Resistor"
"R35","20K","TopLayer","R0603","4171.378","4097.756","270","Resistor"
"R34","51K","BottomLayer","R0603","3672.362","3738.504","360","Resistor"
"R33","100k","TopLayer","R0603","3628.071","3696.181","270","0603"
"R32","4.7K","TopLayer","R0603","3963.701","4074.134","180","Resistor"
"R31","20K","TopLayer","R0603","3962.716","4155.827","360","Resistor"
"R30","1K","BottomLayer","R0603","3524.724","3688.307","360","Resistor"
"R29","4.7K","TopLayer","R0603","3659.567","4113.504","270","Resistor"
"R28","20K","TopLayer","R0603","3586.732","4113.504","270","Resistor"
"R27","1K","BottomLayer","R0603","3523.740","3612.519","360","Resistor"
"R26","51K","BottomLayer","R0603","3523.740","3538.701","180","Resistor"
"R25","0.001R","BottomLayer","2512","3372.165","3626.729","270","11毫欧采样电阻"
"R24","2K","TopLayer","R0603","4298.346","3953.071","180","Resistor"
"R23","100R","TopLayer","R0603","4299.331","3877.283","360","Resistor"
"R22","10K","TopLayer","R0603","4299.331","3801.496","360","Resistor"
"R21","470R","TopLayer","R0603","4265.866","4356.614","180","Resistor"
"R20","1K","TopLayer","R0603","4298.346","4125.315","360","Resistor"
"R19","10K","TopLayer","R0603","4297.362","4065.276","360","Resistor"
"R18","2K","TopLayer","R0603","3838.701","4000.315","180","Resistor"
"R17","100R","TopLayer","R0603","3840.669","3929.449","180","Resistor"
"R16","100K","TopLayer","R0603","3423.346","3216.850","90","Resistor"
"R15","10K","TopLayer","R0603","3838.701","3861.535","180","Resistor"
"R14","4.7K","TopLayer","R0603","3500.118","3348.744","90","Resistor"
"R13","1K","TopLayer","R0603","3802.283","4131.220","180","Resistor"
"R12","100K","TopLayer","R0603","3995.197","3270.984","270","0603"
"R11","100K","TopLayer","R0603","4067.047","3270.000","270","0603"
"R10","430K","TopLayer","R0603","3425.315","3348.740","90","Resistor"
"R9","470R","TopLayer","R0603","3843.622","4356.614","180","Resistor"
"R8","10K","TopLayer","R0603","3801.299","4068.228","180","Resistor"
"R7","2K","TopLayer","R0603","3466.653","3880.236","180","Resistor"
"R6","100R","TopLayer","R0603","3567.047","3839.882","90","Resistor"
"R5","10K","TopLayer","R0603","3466.653","3793.622","180","Resistor"
"R4","1K","TopLayer","R0603","3468.622","4117.441","180","Resistor"
"R3","10K","TopLayer","R0603","3468.622","4042.638","180","Resistor"
"R2","470R","TopLayer","R0603","3440.079","4356.614","180","Resistor"
"    B","510R","TopLayer","R0603","4167.441","3566.260","270","0603"
"Q6","RU3560L","BottomLayer","TO-252","4245.354","4048.504","180","NMOSFET"
"Q5","RU40L10L","BottomLayer","TO-252","4245.354","4575.700","180","PMOSFET"
"Q4","RU3560L","BottomLayer","TO-252","3841.653","4048.504","180","NMOSFET"
"Q3","RU40L10L","BottomLayer","TO-252","3841.653","4575.700","180","PMOSFET"
"Q2","RU3560L","BottomLayer","TO-252","3437.952","4048.504","180","NMOSFET"
"Q1","RU40L10L","BottomLayer","TO-252","3437.952","4575.700","180","PMOSFET"
"P3","PPM","BottomLayer","HDR1X3","3841.773","3377.283","180","Header, 3-Pin"
"P2","SWD","BottomLayer","HDR1X4","4341.653","3518.228","270","Header, 4-Pin"
"P1","USART","TopLayer","HDR1X4","4342.638","3518.228","270","Header, 4-Pin"
"D0","LED","TopLayer","0603LED","4234.370","3590.866","90",""
"C20","20pF","BottomLayer","C0603","4192.051","3582.008","180","0603"
"C16","20pF","BottomLayer","C0603","4209.768","3797.559","180","0603"
"C15","100nF","TopLayer","C0603","3575.905","3526.894","270","0.1uF"
"C14","100nF","TopLayer","C0603","3726.496","3233.587","270","0.1uF"
